date,local_time,h_team,a_team,venue
24-Mar-19,15:20,Fremantle,North Melbourne,Optus Stadium
24-Mar-19,15:20,GWS Giants,Essendon,Spotless Stadium
24-Mar-19,13:10,St Kilda,Gold Coast,Marvel Stadium
23-Mar-19,19:20,Brisbane,West Coast,Gabba
23-Mar-19,19:25,Western Bulldogs,Sydney,Marvel Stadium
23-Mar-19,16:05,Adelaide,Hawthorn,Adelaide Oval
23-Mar-19,13:45,Melbourne,Port Adelaide,MCG
22-Mar-19,19:50,Collingwood,Geelong,MCG
21-Mar-19,19:20,Carlton,Richmond,MCG
29-Sep-18,14:30,West Coast,Collingwood,MCG
22-Sep-18,13:20,West Coast,Melbourne,Optus Stadium
21-Sep-18,19:50,Richmond,Collingwood,MCG
15-Sep-18,19:25,Collingwood,GWS Giants,MCG
14-Sep-18,19:50,Hawthorn,Melbourne,MCG
8-Sep-18,18:10,West Coast,Collingwood,Optus Stadium
8-Sep-18,16:20,Sydney,GWS Giants,SCG
7-Sep-18,19:50,Melbourne,Geelong,MCG
6-Sep-18,19:20,Richmond,Hawthorn,MCG
26-Aug-18,16:40,St Kilda,North Melbourne,Marvel Stadium
26-Aug-18,15:20,Melbourne,GWS Giants,MCG
26-Aug-18,13:10,Brisbane,West Coast,Gabba
25-Aug-18,17:25,Carlton,Adelaide,Marvel Stadium
25-Aug-18,19:25,Sydney,Hawthorn,SCG
25-Aug-18,16:35,Fremantle,Collingwood,Optus Stadium
25-Aug-18,13:45,Richmond,Western Bulldogs,MCG
25-Aug-18,13:45,Geelong,Gold Coast,GMHBA Stadium
24-Aug-18,19:50,Port Adelaide,Essendon,Adelaide Oval
19-Aug-18,16:10,Adelaide,North Melbourne,Adelaide Oval
19-Aug-18,13:20,West Coast,Melbourne,Optus Stadium
19-Aug-18,13:10,Carlton,Western Bulldogs,Marvel Stadium
18-Aug-18,19:25,Gold Coast,Brisbane,Metricon Stadium
18-Aug-18,19:25,St Kilda,Hawthorn,Marvel Stadium
18-Aug-18,16:35,GWS Giants,Sydney,Spotless Stadium
18-Aug-18,14:10,Geelong,Fremantle,GMHBA Stadium
18-Aug-18,13:45,Collingwood,Port Adelaide,MCG
17-Aug-18,19:50,Richmond,Essendon,MCG
12-Aug-18,14:40,Fremantle,Carlton,Optus Stadium
12-Aug-18,15:20,Melbourne,Sydney,MCG
12-Aug-18,13:10,North Melbourne,Western Bulldogs,Marvel Stadium
11-Aug-18,19:25,Collingwood,Brisbane,Marvel Stadium
11-Aug-18,19:25,GWS Giants,Adelaide,UNSW Canberra Oval
11-Aug-18,16:05,Port Adelaide,West Coast,Adelaide Oval
11-Aug-18,14:10,Gold Coast,Richmond,Metricon Stadium
11-Aug-18,13:45,Hawthorn,Geelong,MCG
10-Aug-18,19:50,Essendon,St Kilda,Marvel Stadium
5-Aug-18,14:40,West Coast,Fremantle,Optus Stadium
5-Aug-18,15:20,Melbourne,Gold Coast,MCG
5-Aug-18,13:10,Carlton,GWS Giants,Marvel Stadium
4-Aug-18,19:25,St Kilda,Western Bulldogs,Marvel Stadium
4-Aug-18,19:25,Sydney,Collingwood,SCG
4-Aug-18,16:35,Adelaide,Port Adelaide,Adelaide Oval
4-Aug-18,14:10,Brisbane,North Melbourne,Gabba
4-Aug-18,13:45,Hawthorn,Essendon,MCG
3-Aug-18,19:50,Richmond,Geelong,MCG
29-Jul-18,14:40,Fremantle,Hawthorn,Optus Stadium
29-Jul-18,15:20,Western Bulldogs,Port Adelaide,Mars Stadium
29-Jul-18,13:10,North Melbourne,West Coast,Blundstone Arena
28-Jul-18,19:10,Adelaide,Melbourne,Adelaide Oval
28-Jul-18,19:25,Gold Coast,Carlton,Metricon Stadium
28-Jul-18,16:35,GWS Giants,St Kilda,Spotless Stadium
28-Jul-18,14:10,Geelong,Brisbane,GMHBA Stadium
28-Jul-18,13:45,Richmond,Collingwood,MCG
27-Jul-18,19:50,Essendon,Sydney,Marvel Stadium
22-Jul-18,16:10,Port Adelaide,GWS Giants,Adelaide Oval
22-Jul-18,13:20,West Coast,Western Bulldogs,Optus Stadium
22-Jul-18,13:10,Carlton,Hawthorn,Marvel Stadium
21-Jul-18,19:25,Brisbane,Adelaide,Gabba
21-Jul-18,19:25,Geelong,Melbourne,GMHBA Stadium
21-Jul-18,16:35,Essendon,Fremantle,Marvel Stadium
21-Jul-18,14:10,Sydney,Gold Coast,SCG
21-Jul-18,13:45,Collingwood,North Melbourne,MCG
20-Jul-18,19:50,St Kilda,Richmond,Marvel Stadium
15-Jul-18,14:40,Fremantle,Port Adelaide,Optus Stadium
15-Jul-18,15:20,North Melbourne,Sydney,Marvel Stadium
15-Jul-18,13:10,Collingwood,West Coast,MCG
14-Jul-18,19:25,Gold Coast,Essendon,Metricon Stadium
14-Jul-18,19:25,GWS Giants,Richmond,Spotless Stadium
14-Jul-18,16:35,Melbourne,Western Bulldogs,MCG
14-Jul-18,13:45,Hawthorn,Brisbane,University of Tasmania Stadium
13-Jul-18,19:50,St Kilda,Carlton,Marvel Stadium
12-Jul-18,19:20,Adelaide,Geelong,Adelaide Oval
8-Jul-18,14:40,West Coast,GWS Giants,Optus Stadium
8-Jul-18,15:20,Essendon,Collingwood,MCG
8-Jul-18,13:10,North Melbourne,Gold Coast,Marvel Stadium
7-Jul-18,19:10,Melbourne,Fremantle,TIO Stadium
7-Jul-18,19:25,Western Bulldogs,Hawthorn,Marvel Stadium
7-Jul-18,16:35,Port Adelaide,St Kilda,Adelaide Oval
7-Jul-18,13:45,Brisbane,Carlton,Gabba
6-Jul-18,19:50,Richmond,Adelaide,MCG
5-Jul-18,19:20,Sydney,Geelong,SCG
1-Jul-18,14:40,Fremantle,Brisbane,Optus Stadium
1-Jul-18,15:20,Essendon,North Melbourne,Marvel Stadium
1-Jul-18,13:10,Melbourne,St Kilda,MCG
30-Jun-18,19:25,Gold Coast,Collingwood,Metricon Stadium
30-Jun-18,19:25,GWS Giants,Hawthorn,Spotless Stadium
30-Jun-18,16:35,Adelaide,West Coast,Adelaide Oval
30-Jun-18,13:45,Carlton,Port Adelaide,MCG
29-Jun-18,19:50,Western Bulldogs,Geelong,Marvel Stadium
28-Jun-18,19:20,Richmond,Sydney,Marvel Stadium
24-Jun-18,15:20,Collingwood,Carlton,MCG
23-Jun-18,19:25,Western Bulldogs,North Melbourne,Marvel Stadium
23-Jun-18,16:35,Brisbane,GWS Giants,Gabba
23-Jun-18,13:45,Hawthorn,Gold Coast,University of Tasmania Stadium
22-Jun-18,19:20,Port Adelaide,Melbourne,Adelaide Oval
21-Jun-18,18:10,West Coast,Essendon,Optus Stadium
17-Jun-18,15:20,Geelong,Richmond,MCG
16-Jun-18,19:25,Hawthorn,Adelaide,MCG
16-Jun-18,16:35,Gold Coast,St Kilda,Metricon Stadium
16-Jun-18,13:45,Carlton,Fremantle,Marvel Stadium
15-Jun-18,19:50,Sydney,West Coast,SCG
14-Jun-18,19:20,Port Adelaide,Western Bulldogs,Adelaide Oval
11-Jun-18,15:20,Melbourne,Collingwood,MCG
10-Jun-18,14:40,Fremantle,Adelaide,Optus Stadium
10-Jun-18,13:10,Brisbane,Essendon,Gabba
9-Jun-18,19:25,St Kilda,Sydney,Marvel Stadium
9-Jun-18,16:35,GWS Giants,Gold Coast,Spotless Stadium
9-Jun-18,13:45,Geelong,North Melbourne,GMHBA Stadium
8-Jun-18,19:20,Port Adelaide,Richmond,Adelaide Oval
3-Jun-18,16:10,Adelaide,GWS Giants,Adelaide Oval
3-Jun-18,15:20,Collingwood,Fremantle,MCG
3-Jun-18,13:10,North Melbourne,Brisbane,Marvel Stadium
2-Jun-18,18:10,West Coast,St Kilda,Optus Stadium
