date_time,day,home_team,away_team,stadium
26/03/2004 19:45,Friday,Richmond,Collingwood,MCG
27/03/2004 14:15,Saturday,Hawthorn,Melbourne,MCG
27/03/2004 15:45,Saturday,Fremantle,Carlton,Subiaco
27/03/2004 19:15,Saturday,St Kilda,Geelong,Docklands
27/03/2004 19:15,Saturday,Brisbane Lions,Sydney,Gabba
28/03/2004 13:15,Sunday,Port Adelaide,Essendon,Footy Park
28/03/2004 14:15,Sunday,North Melbourne,Adelaide,MCG
28/03/2004 14:15,Sunday,Western Bulldogs,West Coast,Docklands
2/04/2004 19:40,Friday,Melbourne,Richmond,MCG
3/04/2004 14:10,Saturday,Collingwood,Western Bulldogs,MCG
3/04/2004 14:40,Saturday,Adelaide,Brisbane Lions,Footy Park
3/04/2004 19:10,Saturday,Essendon,St Kilda,Docklands
3/04/2004 20:40,Saturday,West Coast,Port Adelaide,Subiaco
4/04/2004 13:10,Sunday,Sydney,Fremantle,SCG
4/04/2004 14:10,Sunday,Carlton,Geelong,Princes Park
4/04/2004 14:10,Sunday,Hawthorn,North Melbourne,MCG
8/04/2004 19:40,Thursday,Brisbane Lions,Collingwood,Gabba
10/04/2004 14:10,Saturday,North Melbourne,Carlton,MCG
10/04/2004 19:10,Saturday,Sydney,Geelong,SCG
10/04/2004 19:10,Saturday,Essendon,West Coast,Docklands
11/04/2004 13:10,Sunday,Port Adelaide,Hawthorn,Footy Park
11/04/2004 14:10,Sunday,Western Bulldogs,Melbourne,MCG
11/04/2004 15:40,Sunday,Fremantle,Adelaide,Subiaco
12/04/2004 14:10,Monday,St Kilda,Richmond,Docklands
16/04/2004 19:40,Friday,Carlton,Essendon,MCG
17/04/2004 14:10,Saturday,Melbourne,Port Adelaide,MCG
17/04/2004 15:40,Saturday,West Coast,Brisbane Lions,Subiaco
17/04/2004 19:10,Saturday,Geelong,Richmond,Docklands
17/04/2004 19:40,Saturday,Adelaide,St Kilda,Footy Park
18/04/2004 13:10,Sunday,North Melbourne,Sydney,Manuka
18/04/2004 14:10,Sunday,Collingwood,Fremantle,Docklands
18/04/2004 14:10,Sunday,Hawthorn,Western Bulldogs,MCG
23/04/2004 19:40,Friday,Richmond,Adelaide,Docklands
24/04/2004 14:10,Saturday,St Kilda,North Melbourne,Docklands
24/04/2004 14:10,Saturday,Carlton,West Coast,Princes Park
24/04/2004 19:10,Saturday,Sydney,Melbourne,Homebush
24/04/2004 19:40,Saturday,Brisbane Lions,Hawthorn,Gabba
25/04/2004 13:15,Sunday,Collingwood,Essendon,MCG
25/04/2004 15:15,Sunday,Port Adelaide,Western Bulldogs,Footy Park
25/04/2004 16:15,Sunday,Fremantle,Geelong,Subiaco
30/04/2004 19:40,Friday,Richmond,Hawthorn,Docklands
1/05/2004 14:10,Saturday,Essendon,Sydney,MCG
1/05/2004 14:10,Saturday,North Melbourne,Western Bulldogs,Manuka
1/05/2004 19:10,Saturday,St Kilda,Brisbane Lions,Docklands
1/05/2004 20:40,Saturday,West Coast,Fremantle,Subiaco
2/05/2004 13:10,Sunday,Geelong,Adelaide,Kardinia
2/05/2004 14:10,Sunday,Melbourne,Carlton,MCG
2/05/2004 16:10,Sunday,Port Adelaide,Collingwood,Footy Park
7/05/2004 19:40,Friday,Western Bulldogs,Essendon,Docklands
8/05/2004 14:10,Saturday,Carlton,Collingwood,MCG
8/05/2004 16:10,Saturday,Fremantle,St Kilda,Subiaco
8/05/2004 19:10,Saturday,North Melbourne,Brisbane Lions,Docklands
8/05/2004 19:40,Saturday,Port Adelaide,Adelaide,Footy Park
9/05/2004 13:10,Sunday,Sydney,Richmond,SCG
9/05/2004 14:10,Sunday,Melbourne,West Coast,MCG
9/05/2004 17:10,Sunday,Hawthorn,Geelong,Docklands
14/05/2004 20:40,Friday,Adelaide,Essendon,Footy Park
15/05/2004 14:10,Saturday,Richmond,Western Bulldogs,MCG
15/05/2004 16:10,Saturday,West Coast,Sydney,Subiaco
15/05/2004 19:10,Saturday,Brisbane Lions,Carlton,Gabba
15/05/2004 19:10,Saturday,St Kilda,Collingwood,Docklands
16/05/2004 13:10,Sunday,Hawthorn,Fremantle,Launceston
16/05/2004 14:10,Sunday,Geelong,Melbourne,Kardinia
16/05/2004 14:10,Sunday,North Melbourne,Port Adelaide,Docklands
21/05/2004 19:40,Friday,Collingwood,Adelaide,Docklands
22/05/2004 14:10,Saturday,Melbourne,North Melbourne,MCG
22/05/2004 16:10,Saturday,Fremantle,Brisbane Lions,Subiaco
22/05/2004 19:10,Saturday,Geelong,Essendon,Docklands
22/05/2004 19:40,Saturday,Port Adelaide,Richmond,Footy Park
23/05/2004 13:10,Sunday,Sydney,Hawthorn,SCG
23/05/2004 14:10,Sunday,Carlton,Western Bulldogs,Princes Park
23/05/2004 14:10,Sunday,St Kilda,West Coast,Docklands
28/05/2004 19:40,Friday,Essendon,Fremantle,Docklands
29/05/2004 14:10,Saturday,Hawthorn,Adelaide,MCG
29/05/2004 16:10,Saturday,West Coast,Richmond,Subiaco
29/05/2004 19:10,Saturday,North Melbourne,Collingwood,Docklands
29/05/2004 19:10,Saturday,Western Bulldogs,Sydney,SCG
30/05/2004 13:10,Sunday,Melbourne,Brisbane Lions,Gabba
30/05/2004 14:10,Sunday,Carlton,St Kilda,Docklands
30/05/2004 14:40,Sunday,Port Adelaide,Geelong,Footy Park
4/06/2004 19:40,Friday,Collingwood,West Coast,Docklands
5/06/2004 14:10,Saturday,Hawthorn,Essendon,MCG
5/06/2004 14:40,Saturday,Adelaide,Carlton,Footy Park
5/06/2004 19:10,Saturday,North Melbourne,Richmond,Docklands
5/06/2004 19:40,Saturday,Brisbane Lions,Port Adelaide,Gabba
6/06/2004 13:10,Sunday,Sydney,St Kilda,SCG
6/06/2004 14:10,Sunday,Western Bulldogs,Geelong,Docklands
