home_team,away_team,attendance,date,stadium,rnd,year,rnd_percentage,stadium_capacity,day,local_time,timeslot,perc_filled,home_members,away_members,rainfall,home_position,away_position
West Coast,Collingwood,100022,2018-09-29,MCG,38,2018,100.0,100024,Saturday,14:30:00,sat_arvo,99.99800047988484,80290,75507,0.0,2.0,3.0
West Coast,Melbourne,59608,2018-09-22,Perth Stadium,37,2018,100.0,60000,Saturday,13:20:00,sat_arvo,99.34666666666668,80290,44275,0.0,2.0,5.0
Richmond,Collingwood,94959,2018-09-21,MCG,37,2018,100.0,100024,Friday,19:50:00,fri_night,94.936215308326,100726,75507,0.0,1.0,3.0
Collingwood,GWS Giants,72504,2018-09-15,MCG,36,2018,100.0,100024,Saturday,19:25:00,sat_night,72.48660321522834,75507,25243,2.5,3.0,7.0
Hawthorn,Melbourne,90152,2018-09-14,MCG,36,2018,100.0,100024,Friday,19:50:00,fri_night,90.13036871150923,80302,44275,0.6,4.0,5.0
West Coast,Collingwood,59585,2018-09-08,Perth Stadium,36,2018,100.0,60000,Saturday,18:10:00,sat_night,99.30833333333334,80290,75507,0.2,2.0,3.0
Sydney,GWS Giants,40350,2018-09-08,SCG,35,2018,100.0,48000,Saturday,16:20:00,sat_twilight,84.0625,60934,25243,0.0,6.0,7.0
Melbourne,Geelong,91767,2018-09-07,MCG,35,2018,100.0,100024,Friday,19:50:00,fri_night,91.74498120451092,44275,63818,0.0,5.0,8.0
Richmond,Hawthorn,91446,2018-09-06,MCG,36,2018,100.0,100024,Thursday,19:20:00,other,91.42405822602575,100726,80302,3.6,1.0,4.0
St Kilda,North Melbourne,19866,2018-08-26,Docklands,23,2018,100.0,53347,Sunday,16:40:00,sun_twilight,37.239207453090145,46301,40789,3.6,16.0,9.0
Melbourne,GWS Giants,37285,2018-08-26,MCG,23,2018,100.0,100024,Sunday,15:20:00,sun_twilight,37.2760537471007,44275,25243,3.6,5.0,7.0
Brisbane,West Coast,16367,2018-08-26,Gabba,23,2018,100.0,36700,Sunday,13:10:00,sun_arvo,44.59673024523161,24867,80290,10.6,15.0,2.0
Sydney,Hawthorn,39660,2018-08-25,SCG,23,2018,100.0,48000,Saturday,19:25:00,sat_night,82.625,60934,80302,0.0,6.0,4.0
Carlton,Adelaide,17000,2018-08-25,Docklands,23,2018,100.0,53347,Saturday,17:25:00,sat_twilight,31.866834123755787,56005,64739,0.0,18.0,12.0
Fremantle,Collingwood,41320,2018-08-25,Perth Stadium,23,2018,100.0,60000,Saturday,16:35:00,sat_twilight,68.86666666666666,55639,75507,0.0,14.0,3.0
Geelong,Gold Coast,28004,2018-08-25,Kardinia Park,23,2018,100.0,33000,Saturday,13:45:00,sat_arvo,84.86060606060606,63818,12108,0.0,8.0,17.0
Richmond,Western Bulldogs,56998,2018-08-25,MCG,23,2018,100.0,100024,Saturday,13:45:00,sat_arvo,56.98432376229705,100726,43246,0.0,1.0,13.0
Port Adelaide,Essendon,39168,2018-08-24,Adelaide Oval,23,2018,100.0,53583,Friday,19:50:00,fri_night,73.09781087285147,54386,79319,0.0,10.0,11.0
Adelaide,North Melbourne,41444,2018-08-19,Adelaide Oval,22,2018,95.65217391304348,53583,Sunday,16:10:00,sun_twilight,77.34542672116156,64739,40789,6.2,12.0,10.0
West Coast,Melbourne,55824,2018-08-19,Perth Stadium,22,2018,95.65217391304348,60000,Sunday,13:20:00,sun_arvo,93.04,80290,44275,0.0,2.0,7.0
Carlton,Western Bulldogs,24143,2018-08-19,Docklands,22,2018,95.65217391304348,53347,Sunday,13:10:00,sun_arvo,45.25652801469624,56005,43246,2.4,18.0,13.0
Gold Coast,Brisbane,11907,2018-08-18,Carrara,22,2018,95.65217391304348,25000,Saturday,19:25:00,sat_night,47.628,12108,24867,0.0,17.0,15.0
St Kilda,Hawthorn,24795,2018-08-18,Docklands,22,2018,95.65217391304348,53347,Saturday,19:25:00,sat_night,46.478714829324986,46301,80302,10.8,16.0,4.0
GWS Giants,Sydney,21433,2018-08-18,Sydney Showground,22,2018,95.65217391304348,24000,Saturday,16:35:00,sat_twilight,89.30416666666666,25243,60934,0.0,6.0,5.0
Geelong,Fremantle,24507,2018-08-18,Kardinia Park,22,2018,95.65217391304348,33000,Saturday,14:10:00,sat_arvo,74.26363636363637,63818,55639,8.6,8.0,14.0
Collingwood,Port Adelaide,46286,2018-08-18,MCG,22,2018,95.65217391304348,100024,Saturday,13:45:00,sat_arvo,46.274894025433895,75507,54386,10.8,3.0,9.0
Richmond,Essendon,76424,2018-08-17,MCG,22,2018,95.65217391304348,100024,Friday,19:50:00,fri_night,76.40566264096617,100726,79319,0.4,1.0,11.0
Melbourne,Sydney,51424,2018-08-12,MCG,21,2018,91.30434782608695,100024,Sunday,15:20:00,sun_twilight,51.41166120131169,44275,60934,0.4,7.0,6.0
Fremantle,Carlton,40028,2018-08-12,Perth Stadium,21,2018,91.30434782608695,60000,Sunday,14:40:00,sun_arvo,66.71333333333334,55639,56005,0.0,13.0,18.0
North Melbourne,Western Bulldogs,27031,2018-08-12,Docklands,21,2018,91.30434782608695,53347,Sunday,13:10:00,sun_arvo,50.670140776426045,40789,43246,0.4,10.0,14.0
Collingwood,Brisbane,33390,2018-08-11,Docklands,21,2018,91.30434782608695,53347,Saturday,19:25:00,sat_night,62.590211258365045,75507,24867,6.8,5.0,16.0
GWS Giants,Adelaide,13249,2018-08-11,Manuka Oval,21,2018,91.30434782608695,13550,Saturday,19:25:00,sat_night,97.77859778597787,25243,64739,3.2,3.0,12.0
Port Adelaide,West Coast,32534,2018-08-11,Adelaide Oval,21,2018,91.30434782608695,53583,Saturday,16:05:00,sat_twilight,60.71701845734655,54386,80290,2.8,8.0,2.0
Gold Coast,Richmond,18102,2018-08-11,Carrara,21,2018,91.30434782608695,25000,Saturday,14:10:00,sat_arvo,72.408,12108,100726,0.0,17.0,1.0
Hawthorn,Geelong,59529,2018-08-11,MCG,21,2018,91.30434782608695,100024,Saturday,13:45:00,sat_arvo,59.514716468047666,80302,63818,6.8,4.0,9.0
Essendon,St Kilda,37483,2018-08-10,Docklands,21,2018,91.30434782608695,53347,Friday,19:50:00,fri_night,70.26262020357284,79319,46301,10.2,11.0,15.0
Melbourne,Gold Coast,23072,2018-08-05,MCG,20,2018,86.95652173913044,100024,Sunday,15:20:00,sun_twilight,23.06646404862833,44275,12108,0.0,4.0,17.0
West Coast,Fremantle,57375,2018-08-05,Perth Stadium,20,2018,86.95652173913044,60000,Sunday,14:40:00,sun_arvo,95.625,80290,55639,0.0,2.0,13.0
Carlton,GWS Giants,16697,2018-08-05,Docklands,20,2018,86.95652173913044,53347,Sunday,13:10:00,sun_arvo,31.2988546684912,56005,25243,0.0,18.0,3.0
St Kilda,Western Bulldogs,20748,2018-08-04,Docklands,20,2018,86.95652173913044,53347,Saturday,19:25:00,sat_night,38.892533788216774,46301,43246,0.2,15.0,14.0
Sydney,Collingwood,39238,2018-08-04,SCG,20,2018,86.95652173913044,48000,Saturday,19:25:00,sat_night,81.74583333333332,60934,75507,0.0,8.0,6.0
Adelaide,Port Adelaide,50377,2018-08-04,Adelaide Oval,20,2018,86.95652173913044,53583,Saturday,16:35:00,sat_twilight,94.01675904671258,64739,54386,15.533333333333333,12.0,7.0
