match_#_at_stadium,round_year,home_team,home_goals_behinds,home_score,away_team,away_goals_behinds,away_score,attendance,date,stadium
115,"R23,2018",Port Adelaide,1.1 5.6 9.7 13.11,89,Essendon,6.4 9.7 15.8 17.9,111,39168,24-Aug-18,Adelaide Oval
114,"R22,2018",Adelaide,3.5 7.9 10.13 12.14,86,North Melbourne,3.2 3.5 6.7 11.11,77,41444,19-Aug-18,Adelaide Oval
113,"R21,2018",Port Adelaide,5.1 6.2 9.2 9.4,58,West Coast,1.1 3.2 6.5 9.8,62,32534,11-Aug-18,Adelaide Oval
112,"R20,2018",Adelaide,5.3 7.8 9.14 13.18,96,Port Adelaide,5.3 9.5 10.9 14.9,93,50377,4-Aug-18,Adelaide Oval
111,"R19,2018",Adelaide,4.4 6.8 7.10 10.17,77,Melbourne,3.1 5.7 12.11 13.12,90,45880,28-Jul-18,Adelaide Oval
110,"R18,2018",Port Adelaide,1.0 3.5 7.8 8.10,58,Greater Western Sydney,4.3 7.7 9.12 11.14,80,34693,22-Jul-18,Adelaide Oval
109,"R17,2018",Adelaide,4.3 7.9 13.15 16.16,112,Geelong,3.3 6.7 10.9 14.13,97,46095,12-Jul-18,Adelaide Oval
108,"R16,2018",Port Adelaide,3.1 5.6 8.12 12.14,86,St Kilda,0.5 2.6 4.6 7.8,50,36253,7-Jul-18,Adelaide Oval
107,"R15,2018",Adelaide,1.3 3.8 6.10 12.16,88,West Coast,2.4 5.5 10.6 12.6,78,44771,30-Jun-18,Adelaide Oval
106,"R14,2018",Port Adelaide,1.3 4.6 8.7 11.9,75,Melbourne,3.5 4.8 9.9 9.11,65,40751,22-Jun-18,Adelaide Oval
105,"R13,2018",Port Adelaide,5.5 8.6 14.9 20.12,132,Western Bulldogs,0.1 4.5 8.7 11.9,75,26137,14-Jun-18,Adelaide Oval
104,"R12,2018",Port Adelaide,2.2 9.5 10.7 10.12,72,Richmond,3.3 5.6 7.8 8.10,58,39936,8-Jun-18,Adelaide Oval
103,"R11,2018",Adelaide,4.3 6.7 9.10 11.15,81,Greater Western Sydney,3.5 9.7 11.10 14.13,97,44120,3-Jun-18,Adelaide Oval
102,"R9,2018",Adelaide,3.1 3.3 6.6 9.9,63,Western Bulldogs,0.3 1.7 1.10 2.14,26,39407,18-May-18,Adelaide Oval
101,"R8,2018",Port Adelaide,1.3 4.6 11.11 14.11,95,Adelaide,4.2 8.3 10.5 14.6,90,50967,12-May-18,Adelaide Oval
100,"R7,2018",Adelaide,7.2 9.3 15.8 19.11,125,Carlton,2.1 6.4 7.8 10.10,70,47422,5-May-18,Adelaide Oval
99,"R6,2018",Adelaide,4.4 10.7 13.9 16.14,110,Gold Coast,2.1 3.4 7.6 9.8,62,44835,28-Apr-18,Adelaide Oval
98,"R5,2018",Port Adelaide,1.2 4.4 7.5 7.8,50,Geelong,3.2 5.7 8.10 12.12,84,45372,21-Apr-18,Adelaide Oval
97,"R4,2018",Adelaide,1.1 3.2 6.3 9.4,58,Collingwood,5.2 8.5 11.9 16.10,106,45495,13-Apr-18,Adelaide Oval
96,"R3,2018",Port Adelaide,4.6 7.7 14.8 14.13,97,Brisbane Lions,4.0 9.6 11.8 14.8,92,36363,7-Apr-18,Adelaide Oval
95,"R2,2018",Adelaide,4.4 11.4 14.7 18.10,118,Richmond,4.2 9.4 10.9 12.10,82,49743,29-Mar-18,Adelaide Oval
94,"R1,2018",Port Adelaide,4.3 8.7 14.10 16.14,110,Fremantle,1.4 5.4 7.6 9.6,60,38324,24-Mar-18,Adelaide Oval
93,"PF,2017",Adelaide,1.2 5.8 8.11 10.15,75,Geelong,6.3 11.7 14.10 21.10,136,53817,22-Sep-17,Adelaide Oval
92,"EF,2017",Port Adelaide,4.2 7.4 7.5 12.6,78,West Coast,1.0 5.5 6.8 10.16,76,41172,9-Sep-17,Adelaide Oval
91,"QF,2017",Adelaide,1.4 1.5 5.7 6.12,48,Greater Western Sydney,3.4 8.7 12.8 12.12,84,52805,7-Sep-17,Adelaide Oval
90,"R23,2017",Port Adelaide,2.3 9.6 14.12 20.15,135,Gold Coast,2.1 2.1 2.1 3.2,20,34288,26-Aug-17,Adelaide Oval
89,"R22,2017",Adelaide,2.2 5.5 8.10 11.14,80,Sydney,5.1 7.1 11.3 13.5,83,51466,18-Aug-17,Adelaide Oval
88,"R21,2017",Port Adelaide,2.4 7.8 10.11 14.14,98,Collingwood,1.3 4.4 8.8 10.11,71,37533,13-Aug-17,Adelaide Oval
87,"R20,2017",Adelaide,1.9 5.15 12.18 18.22,130,Port Adelaide,1.1 1.3 4.4 7.4,46,45028,6-Aug-17,Adelaide Oval
86,"R19,2017",Port Adelaide,2.3 3.5 5.7 9.9,63,St Kilda,1.3 2.8 3.12 8.13,61,30335,29-Jul-17,Adelaide Oval
85,"R18,2017",Adelaide,5.2 9.5 13.9 13.13,91,Geelong,1.4 4.6 7.8 10.10,70,50464,21-Jul-17,Adelaide Oval
84,"R17,2017",Port Adelaide,8.1 11.4 14.9 19.13,127,North Melbourne,2.0 5.3 6.5 8.9,57,34138,15-Jul-17,Adelaide Oval
83,"R16,2017",Adelaide,2.2 5.5 12.5 16.8,104,Western Bulldogs,2.4 4.8 4.11 5.15,45,41948,7-Jul-17,Adelaide Oval
82,"R15,2017",Port Adelaide,1.6 5.11 6.14 8.15,63,Richmond,1.4 3.8 7.10 11.10,76,39979,1-Jul-17,Adelaide Oval
81,"R14,2017",Adelaide,4.2 9.4 10.6 12.10,82,Hawthorn,4.2 6.4 9.7 14.12,96,45312,22-Jun-17,Adelaide Oval
80,"R13,2017",Port Adelaide,5.6 8.9 14.10 18.13,121,Brisbane Lions,3.3 6.6 10.6 12.9,81,31772,17-Jun-17,Adelaide Oval
79,"R12,2017",Adelaide,5.6 8.9 11.11 16.15,111,St Kilda,1.1 2.4 3.10 7.12,54,46082,9-Jun-17,Adelaide Oval
78,"R11,2017",Port Adelaide,6.5 9.8 10.15 13.20,98,Hawthorn,0.0 0.3 3.4 7.5,47,37910,1-Jun-17,Adelaide Oval
77,"R10,2017",Adelaide,5.9 9.18 16.21 20.23,143,Fremantle,1.0 2.1 4.2 6.7,43,42415,27-May-17,Adelaide Oval
76,"R8,2017",Adelaide,1.4 6.7 7.8 9.12,66,Melbourne,2.2 5.3 12.5 17.5,107,47882,13-May-17,Adelaide Oval
75,"R7,2017",Port Adelaide,2.3 5.7 7.13 12.15,87,West Coast,4.1 7.3 12.4 15.7,97,38333,6-May-17,Adelaide Oval
74,"R6,2017",Adelaide,5.0 11.6 18.11 21.14,140,Richmond,6.3 7.3 8.3 10.4,64,51069,30-Apr-17,Adelaide Oval
73,"R5,2017",Port Adelaide,5.3 8.6 14.16 20.17,137,Carlton,1.4 2.9 2.9 6.11,47,43120,21-Apr-17,Adelaide Oval
72,"R4,2017",Adelaide,9.2 15.6 17.7 24.9,153,Essendon,3.2 7.2 10.9 13.10,88,47492,15-Apr-17,Adelaide Oval
71,"R3,2017",Port Adelaide,4.6 6.6 9.8 12.11,83,Adelaide,3.3 7.9 11.10 15.10,100,53698,8-Apr-17,Adelaide Oval
70,"R2,2017",Port Adelaide,7.3 11.8 18.9 22.13,145,Fremantle,2.1 3.3 7.4 8.8,56,38388,2-Apr-17,Adelaide Oval
69,"R1,2017",Adelaide,2.3 7.9 15.14 22.15,147,Greater Western Sydney,4.5 6.7 11.7 14.7,91,43993,26-Mar-17,Adelaide Oval
68,"EF,2016",Adelaide,2.4 5.4 8.5 12.7,79,North Melbourne,4.6 6.10 14.11 21.15,141,49007,10-Sep-16,Adelaide Oval
67,"R23,2016",Adelaide,2.3 6.4 6.11 10.11,71,West Coast,2.4 7.9 12.12 14.16,100,50785,26-Aug-16,Adelaide Oval
66,"R22,2016",Port Adelaide,4.3 6.4 12.7 14.10,94,Adelaide,4.2 7.11 11.14 15.19,109,49541,20-Aug-16,Adelaide Oval
65,"R21,2016",Port Adelaide,1.2 2.4 6.5 8.6,54,Melbourne,4.3 8.5 9.9 13.16,94,33426,13-Aug-16,Adelaide Oval
64,"R20,2016",Adelaide,7.4 14.10 22.13 27.15,177,Brisbane Lions,3.0 5.0 6.1 6.3,39,43549,6-Aug-16,Adelaide Oval
63,"R19,2016",Adelaide,5.2 11.7 18.10 22.11,143,Essendon,2.3 4.4 5.6 9.7,61,44264,31-Jul-16,Adelaide Oval
62,"R18,2016",Port Adelaide,2.2 6.3 7.5 9.6,60,Greater Western Sydney,0.2 2.7 7.11 11.13,79,27935,24-Jul-16,Adelaide Oval
61,"R17,2016",Adelaide,5.2 8.7 11.12 14.13,97,Collingwood,1.6 5.7 8.7 10.9,69,50002,16-Jul-16,Adelaide Oval
60,"R16,2016",Port Adelaide,3.3 5.4 7.4 12.7,79,Hawthorn,3.1 6.4 11.10 15.11,101,43025,7-Jul-16,Adelaide Oval
59,"R15,2016",Port Adelaide,2.2 9.2 11.5 14.10,94,Richmond,3.2 5.3 7.6 8.8,56,37848,1-Jul-16,Adelaide Oval
58,"R14,2016",Adelaide,3.8 4.13 8.18 12.28,100,North Melbourne,1.2 6.5 9.6 10.7,67,37890,23-Jun-16,Adelaide Oval
57,"R12,2016",Port Adelaide,4.3 6.7 11.9 14.13,97,Western Bulldogs,6.1 7.3 10.6 15.10,100,40096,11-Jun-16,Adelaide Oval
56,"R11,2016",Adelaide,6.5 11.11 16.14 19.19,133,St Kilda,1.2 4.2 5.5 6.9,45,40896,5-Jun-16,Adelaide Oval
55,"R10,2016",Adelaide,4.6 6.11 14.13 15.17,107,Greater Western Sydney,2.1 7.3 8.3 13.7,85,46737,28-May-16,Adelaide Oval
54,"R9,2016",Port Adelaide,3.1 5.3 9.6 13.8,86,West Coast,5.2 9.4 12.7 14.10,94,38695,21-May-16,Adelaide Oval
53,"R8,2016",Adelaide,2.1 5.1 11.3 11.6,72,Geelong,3.8 5.13 9.17 13.20,98,53141,13-May-16,Adelaide Oval
52,"R7,2016",Port Adelaide,3.1 10.5 14.7 21.10,136,Brisbane Lions,4.4 5.6 5.13 7.17,59,31544,8-May-16,Adelaide Oval
51,"R6,2016",Adelaide,2.4 5.5 9.10 14.13,97,Fremantle,1.3 2.11 3.14 8.16,64,46431,30-Apr-16,Adelaide Oval
50,"R5,2016",Port Adelaide,5.4 5.6 7.9 8.11,59,Geelong,1.4 7.5 12.9 16.11,107,43984,23-Apr-16,Adelaide Oval
49,"R4,2016",Adelaide,3.1 5.8 11.13 16.17,113,Sydney,3.4 5.6 12.8 15.13,103,50369,16-Apr-16,Adelaide Oval
48,"R3,2016",Port Adelaide,7.4 11.5 14.8 17.10,112,Essendon,1.4 4.6 4.7 7.9,51,43663,8-Apr-16,Adelaide Oval
47,"R2,2016",Adelaide,6.4 13.5 19.7 22.12,144,Port Adelaide,1.2 4.8 7.12 11.20,86,50555,2-Apr-16,Adelaide Oval
46,"R1,2016",Port Adelaide,4.1 9.2 13.9 20.13,133,St Kilda,4.4 9.8 14.9 15.10,100,42896,27-Mar-16,Adelaide Oval
