Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2004,2,1,0
Adelaide Oval,23011,2004,2,2,0.8
Adelaide Oval,23011,2004,2,3,0
Adelaide Oval,23011,2004,2,4,0
Adelaide Oval,23011,2004,2,5,0
Adelaide Oval,23011,2004,2,6,0
Adelaide Oval,23011,2004,2,7,0
Adelaide Oval,23011,2004,2,8,0
Adelaide Oval,23011,2004,2,9,0
Adelaide Oval,23011,2004,2,10,0
Adelaide Oval,23011,2004,2,11,0
Adelaide Oval,23011,2004,2,12,0
Adelaide Oval,23011,2004,2,13,0
Adelaide Oval,23011,2004,2,14,0
Adelaide Oval,23011,2004,2,15,0
Adelaide Oval,23011,2004,2,16,0
Adelaide Oval,23011,2004,2,17,0
Adelaide Oval,23011,2004,2,18,0
Adelaide Oval,23011,2004,2,19,0
Adelaide Oval,23011,2004,2,20,0
Adelaide Oval,23011,2004,2,21,0
Adelaide Oval,23011,2004,2,22,5
Adelaide Oval,23011,2004,2,23,0
Adelaide Oval,23011,2004,2,24,0
Adelaide Oval,23011,2004,2,25,0
Adelaide Oval,23011,2004,2,26,0
Adelaide Oval,23011,2004,2,27,0
Adelaide Oval,23011,2004,2,28,0
Adelaide Oval,23011,2004,2,29,0
Adelaide Oval,23011,2004,3,1,0
Adelaide Oval,23011,2004,3,2,0
Adelaide Oval,23011,2004,3,3,0
Adelaide Oval,23011,2004,3,4,0
Adelaide Oval,23011,2004,3,5,0
Adelaide Oval,23011,2004,3,6,0.2
Adelaide Oval,23011,2004,3,7,0
Adelaide Oval,23011,2004,3,8,0
Adelaide Oval,23011,2004,3,9,6.8
Adelaide Oval,23011,2004,3,10,0
Adelaide Oval,23011,2004,3,11,0
Adelaide Oval,23011,2004,3,12,0
Adelaide Oval,23011,2004,3,13,0
Adelaide Oval,23011,2004,3,14,0
Adelaide Oval,23011,2004,3,15,0
Adelaide Oval,23011,2004,3,16,0
Adelaide Oval,23011,2004,3,17,0
Adelaide Oval,23011,2004,3,18,0
Adelaide Oval,23011,2004,3,19,0
Adelaide Oval,23011,2004,3,20,0
Adelaide Oval,23011,2004,3,21,0
Adelaide Oval,23011,2004,3,22,0
Adelaide Oval,23011,2004,3,23,0
Adelaide Oval,23011,2004,3,24,0
Adelaide Oval,23011,2004,3,25,0
Adelaide Oval,23011,2004,3,26,0
Adelaide Oval,23011,2004,3,27,0
Adelaide Oval,23011,2004,3,28,0
Adelaide Oval,23011,2004,3,29,13
Adelaide Oval,23011,2004,3,30,0
Adelaide Oval,23011,2004,3,31,0
Adelaide Oval,23011,2004,4,1,0
Adelaide Oval,23011,2004,4,2,0
Adelaide Oval,23011,2004,4,3,0
Adelaide Oval,23011,2004,4,4,0
Adelaide Oval,23011,2004,4,5,0
Adelaide Oval,23011,2004,4,6,0
Adelaide Oval,23011,2004,4,7,0
Adelaide Oval,23011,2004,4,8,0
Adelaide Oval,23011,2004,4,9,0
Adelaide Oval,23011,2004,4,10,0
Adelaide Oval,23011,2004,4,11,0.8
